"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95"
"maxPD","Pd>=5","DS","DS","CW","pearson",0.12679208297367,3.41563025621508e-05,0.00584433936062501,0.115337388313415,0.138246777633925
"maxPD","Pd>=5","FS","FS","CW","pearson",0.100587688549359,2.88493485970473e-05,0.00537115896218379,0.0900604104282396,0.111114966670479
"maxPD","Pd>=5","DSI","DSI","CW","pearson",0.0826345767562431,3.50650582693257e-05,0.00592157565765445,0.0710285017355113,0.0942406517769749
"maxPD","Pd>=5","FSI","FSI","CW","pearson",0.0511784377615622,2.47964453987852e-05,0.00497960293585595,0.0414185953499746,0.0609382801731498
"maxPD","Pd>=6","DS","DS","CW","pearson",0.12679208297367,3.41563025621508e-05,0.00584433936062501,0.115337388313415,0.138246777633925
"maxPD","Pd>=6","FS","FS","CW","pearson",0.100587688549359,2.88493485970473e-05,0.00537115896218379,0.0900604104282396,0.111114966670479
"maxPD","Pd>=6","DSI","DSI","CW","pearson",0.0826345767562431,3.50650582693257e-05,0.00592157565765445,0.0710285017355113,0.0942406517769749
"maxPD","Pd>=6","FSI","FSI","CW","pearson",0.0511784377615622,2.47964453987852e-05,0.00497960293585595,0.0414185953499746,0.0609382801731498
"maxCAL","Cal>=3","DS","DS","PPW","pearson",0.141875566682344,4.88459469141753e-05,0.00698898754571614,0.128177402804341,0.155573730560346
"maxCAL","Cal>=3","FS","FS","PPW","pearson",0.0856455996531569,9.62619964418931e-06,0.00310261174564097,0.0795645923736896,0.0917266069326241
"maxCAL","Cal>=3","DSI","DSI","PPW","pearson",0.128260567274496,7.12217930712591e-05,0.00843930050841058,0.111719842223301,0.144801292325691
"maxCAL","Cal>=3","FSI","FSI","PPW","pearson",0.042194081451875,1.45621620311826e-05,0.00381604009821472,0.0347147802958135,0.0496733826079365
"maxCAL","Cal>=4","DS","DS","PPW","pearson",0.0800822201912874,4.92323897719956e-05,0.00701657963483602,0.0663299768123516,0.0938344635702232
"maxCAL","Cal>=4","FS","FS","PPW","pearson",0.0852346629978763,1.29737818424864e-05,0.0036019136361782,0.0781750419955434,0.0922942840002093
"maxCAL","Cal>=4","DSI","DSI","PPW","pearson",0.0607091651074762,7.03311329520438e-05,0.00838636589662315,0.0442721899889199,0.0771461402260325
"maxCAL","Cal>=4","FSI","FSI","PPW","pearson",0.0157533973178549,1.86904480408296e-05,0.0043232450822073,0.00727999266038867,0.0242268019753211
"maxCAL","Cal>=5","DS","DS","PPW","pearson",0.0581712782012204,5.30012268799929e-05,0.00728019415125674,0.0439023598642981,0.0724401965381428
"maxCAL","Cal>=5","FS","FS","PPW","pearson",0.0754667075511961,2.06165429789212e-05,0.00454054434830464,0.0665674041583121,0.0843660109440801
"maxCAL","Cal>=5","DSI","DSI","PPW","pearson",0.036030753372634,7.02224356168605e-05,0.0083798827925491,0.0196064849045708,0.0524550218406971
"maxCAL","Cal>=5","FSI","FSI","PPW","pearson",-0.00880436940401596,2.72815813006102e-05,0.00522317731851123,-0.0190416088331645,0.00143287002513256
"maxPD","Pd>=4","DS","DS","PPW","pearson",0.0580694465212816,4.72143375711861e-05,0.00687126899278337,0.0446020067673394,0.0715368862752238
"maxPD","Pd>=4","FS","FS","PPW","pearson",0.115206007438442,2.07764505202431e-05,0.00455811918670882,0.106272257995252,0.124139756881633
"maxPD","Pd>=4","DSI","DSI","PPW","pearson",0.0127037584818495,5.78189093281634e-05,0.00760387462601557,-0.00219956192809895,0.027607078891798
"maxPD","Pd>=4","FSI","FSI","PPW","pearson",0.0127420743833461,2.66481241350224e-05,0.00516218210982743,0.00262438336644731,0.0228597654002448
"maxPD","Pd>=5","DS","DS","PPW","pearson",0.0652773306315635,5.94169049370063e-05,0.0077082361754818,0.0501694653432904,0.0803851959198366
"maxPD","Pd>=5","FS","FS","PPW","pearson",0.105734168247049,3.33670019519698e-05,0.00577641774389369,0.0944125975093594,0.117055738984739
"maxPD","Pd>=5","DSI","DSI","PPW","pearson",0.0130756837497048,6.34995017959343e-05,0.00796865746508998,-0.00254259788700777,0.0286939653864174
"maxPD","Pd>=5","FSI","FSI","PPW","pearson",0.00486873653809014,3.98081113780858e-05,0.00630936695541524,-0.00749739545977087,0.0172348685359511
"maxPD","Pd>=6","DS","DS","PPW","pearson",0.0801686103049447,6.90320893995763e-05,0.00830855519326774,0.0638841413625767,0.0964530792473127
"maxPD","Pd>=6","FS","FS","PPW","pearson",0.117293862041606,4.37826325254257e-05,0.00661684460490238,0.104325084924699,0.130262639158512
"maxPD","Pd>=6","DSI","DSI","PPW","pearson",0.0319250861016327,6.9529297415643e-05,0.00833842295734889,0.0155820774173669,0.0482680947858985
"maxPD","Pd>=6","FSI","FSI","PPW","pearson",0.0230736529026551,4.74485588760163e-05,0.00688829143373132,0.00957284977752597,0.0365744560277843
"maxCAL","Cal>=3","DS","DS","OPW","pearson",0.155350657246937,6.46476532536261e-05,0.00804037643730852,0.139591809007668,0.171109505486206
"maxCAL","Cal>=3","FS","FS","OPW","pearson",0.0562784036717338,2.62152486017008e-05,0.00512008287058918,0.0462432256475185,0.066313581695949
"maxCAL","Cal>=3","DSI","DSI","OPW","pearson",0.135570050910126,8.04180080608388e-05,0.00896760882626126,0.11799386058321,0.153146241237041
"maxCAL","Cal>=3","FSI","FSI","OPW","pearson",0.0146786883748649,3.20762387795593e-05,0.00566358886039226,0.00357825818525385,0.025779118564476
"maxCAL","Cal>=4","DS","DS","OPW","pearson",0.10674215005747,5.63789378614021e-05,0.00750859093714674,0.0920255822460187,0.121458717868922
"maxCAL","Cal>=4","FS","FS","OPW","pearson",0.0653850848061648,2.50127382931717e-05,0.00500127366709438,0.0555827685418313,0.0751874010704984
"maxCAL","Cal>=4","DSI","DSI","OPW","pearson",0.0843638334847311,6.86661432349674e-05,0.00828650367977758,0.0681225847146084,0.100605082254854
