"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95","Age"
"maxCAL","Cal>=5","DSI_score","DSI","no_weight","pearson",0.0986532137641496,0.000130602872457371,0.0114281613769395,0.0762544290558365,0.121051998472463,"50-64"
"maxCAL","Cal>=5","FSI_score","FSI","no_weight","pearson",0.015885635352866,6.28689690218433e-05,0.00792899546108101,0.000345089815565667,0.0314261808901663,"50-64"
"maxPD","Pd>=4","DS_score","DS","no_weight","pearson",0.103616848069476,8.79428418384832e-05,0.00937778448454021,0.0852367282249983,0.121996967913953,"50-64"
"maxPD","Pd>=4","FS_score","FS","no_weight","pearson",0.0829882966226091,7.52253025796866e-05,0.00867325213398565,0.065989034811162,0.0999875584340561,"50-64"
"maxPD","Pd>=4","DSI_score","DSI","no_weight","pearson",0.0794851081253776,0.000105294655379496,0.0102613184035725,0.0593732936204775,0.0995969226302778,"50-64"
"maxPD","Pd>=4","FSI_score","FSI","no_weight","pearson",0.0560434429301451,6.75962585106164e-05,0.00822169438197604,0.0399292180495767,0.0721576678107134,"50-64"
"maxPD","Pd>=5","DS_score","DS","no_weight","pearson",0.103616848069476,8.79428418384832e-05,0.00937778448454021,0.0852367282249983,0.121996967913953,"50-64"
"maxPD","Pd>=5","FS_score","FS","no_weight","pearson",0.0829882966226091,7.52253025796866e-05,0.00867325213398565,0.065989034811162,0.0999875584340561,"50-64"
"maxPD","Pd>=5","DSI_score","DSI","no_weight","pearson",0.0794851081253776,0.000105294655379496,0.0102613184035725,0.0593732936204775,0.0995969226302778,"50-64"
"maxPD","Pd>=5","FSI_score","FSI","no_weight","pearson",0.0560434429301451,6.75962585106164e-05,0.00822169438197604,0.0399292180495767,0.0721576678107134,"50-64"
"maxPD","Pd>=6","DS_score","DS","no_weight","pearson",0.103616848069476,8.79428418384832e-05,0.00937778448454021,0.0852367282249983,0.121996967913953,"50-64"
"maxPD","Pd>=6","FS_score","FS","no_weight","pearson",0.0829882966226091,7.52253025796866e-05,0.00867325213398565,0.065989034811162,0.0999875584340561,"50-64"
"maxPD","Pd>=6","DSI_score","DSI","no_weight","pearson",0.0794851081253776,0.000105294655379496,0.0102613184035725,0.0593732936204775,0.0995969226302778,"50-64"
"maxPD","Pd>=6","FSI_score","FSI","no_weight","pearson",0.0560434429301451,6.75962585106164e-05,0.00822169438197604,0.0399292180495767,0.0721576678107134,"50-64"
"maxCAL","Cal>=3","DS_score","DS","CW","pearson",0.115316916694552,0.000136155750733759,0.0116685796365179,0.0924469208562395,0.138186912532864,"50-64"
"maxCAL","Cal>=3","FS_score","FS","CW","pearson",0.01648302126693,8.21555608350588e-05,0.00906397047849665,-0.00128203442785772,0.0342480769617177,"50-64"
"maxCAL","Cal>=3","DSI_score","DSI","CW","pearson",0.104505868072957,0.000150749822194272,0.0122780219169975,0.0804413873142487,0.128570348831666,"50-64"
